objectid,cat,man,bran,year,circa,xd,gd,cd,td,s,storfor,omit,locbox,locbag,expos,backp,manid,branid,mansafe,bransafe,xdsafe,gdsafe,cdsafe,tdsafe,ssafe,backpsafe
127114574,3157,Kodak,Panalure II,1990,1,Smooth,Glossy,White,Medium Weight,F,Not exposed - package open,0,59.0,B,,K11,http://www.wikidata.org/entity/Q486269,,Kodak,Panalure_II,Smooth,Glossy,White,Medium_Weight,F,K11
1987001388,3158,Oriental,Bromide,1990,1,Smooth,Glossy,Pure White,Single Weight,F,Not exposed - package open,0,59.0,B,,,,,Oriental,Bromide,Smooth,Glossy,Pure_White,Single_Weight,F,
1484765754,4133,Agfa Gevaert,Insignia,1990,1,[texture unspecified],Glossy,White,Double Weight,111,Not exposed - package open,0,80.0,C,,A09,http://viaf.org/viaf/122636463,,Agfa_Gevaert,Insignia,[texture_unspecified],Glossy,White,Double_Weight,111,A09
1667827356,4134,Agfa Gevaert,Insignia,1990,1,[texture unspecified],Glossy,White,Double Weight,111,Not exposed - package open,0,80.0,C,,A09,http://viaf.org/viaf/122636463,,Agfa_Gevaert,Insignia,[texture_unspecified],Glossy,White,Double_Weight,111,A09
853701070,4135,Agfa Gevaert,Insignia,1990,1,[texture unspecified],Glossy,White,Double Weight,111,Not exposed - package open,0,80.0,C,,A09,http://viaf.org/viaf/122636463,,Agfa_Gevaert,Insignia,[texture_unspecified],Glossy,White,Double_Weight,111,A09
1329364036,4234,Kodak,Portra Endura,1990,1,Smooth,Glossy,White,Medium Weight,F,Not exposed - package sealed,1,85.0,A,,K13,http://www.wikidata.org/entity/Q486269,,Kodak,Portra_Endura,Smooth,Glossy,White,Medium_Weight,F,K13
53541347,4253,DuPont,Bright Light Direct Positive Paper,1990,1,[texture unspecified],[gloss unspecified],[base color unspecified],[weight unspecified],[not specified],Not exposed - package sealed,0,66.0,B,,,http://viaf.org/viaf/141519150,,DuPont,Bright_Light_Direct_Positive_Paper,[texture_unspecified],[gloss_unspecified],[base_color_unspecified],[weight_unspecified],[not_specified],
1931389970,4811,Luminos,Metallic Gold,1990,1,[texture unspecified],[gloss unspecified],Metallic Gold,Medium Weight,Gold,Not exposed - package open,0,100.0,B,,,http://viaf.org/viaf/394162664562655002403,,Luminos,Metallic_Gold,[texture_unspecified],[gloss_unspecified],Metallic_Gold,Medium_Weight,Gold,
585595024,4812,Kodak,Polyprint,1990,1,Smooth,Glossy,White,Medium Weight,F,Not exposed - package open,0,100.0,B,,,http://www.wikidata.org/entity/Q486269,,Kodak,Polyprint,Smooth,Glossy,White,Medium_Weight,F,
808434221,4859,Agfa Gevaert,Insignia,1990,1,[texture unspecified],Glossy,Extra White,Double Weight,111,Not exposed - package open,0,100.0,B,,A09,http://viaf.org/viaf/122636463,,Agfa_Gevaert,Insignia,[texture_unspecified],Glossy,Extra_White,Double_Weight,111,A09
1235488316,4919,Ilford,Ilfobrom,1990,1,[texture unspecified],Glossy,[base color unspecified],Single Weight,1P,Not exposed - package open,0,102.0,E,,,http://viaf.org/viaf/131332975,,Ilford,Ilfobrom,[texture_unspecified],Glossy,[base_color_unspecified],Single_Weight,1P,
481993151,4930,Ilford,Multigrade IV,1990,1,[texture unspecified],Glossy,[base color unspecified],Medium Weight,1M,Not exposed - package sealed,0,103.0,A,,,http://viaf.org/viaf/131332975,,Ilford,Multigrade_IV,[texture_unspecified],Glossy,[base_color_unspecified],Medium_Weight,1M,
