"PhotoID","Year","DateUncertain","Catalog Number","Secondary Catalog Number","Manufacturer","Brand","Format","Texture2","Reflectance2","BaseColor2","Weight2","SurfaceDesignation2","Omit_from_Paperbase","LocationBox","LocationBag","Exposure","BackprintingPrimary","ProcessName","Link","AATA_ID"
2145794846,"1960",1,4881,"d","Agfa","Brovira","Sample book","Smooth","Matte","White","Double Weight","113",0,4,"20",6,"A05","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
2145794847,"1960",1,4881,"e","Agfa","Brovira","Sample book","Silk","Semi Glossy","White","Double Weight","117",0,4,"20",7,"A05","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
2145794848,"1960",1,4881,"f","Agfa","Brovira","Sample book","Crystal","Crystal","White","Double Weight","119",0,4,"20",8,"A05","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
2145794849,"1960",1,4881,"g","Agfa","Record Rapid","Sample book","[texture unspecified]","Glossy","White","Single Weight","1",0,4,"20",9,"A03","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
2145794850,"1960",1,4881,"h","Agfa","Record Rapid","Sample book","[texture unspecified]","Glossy","White","Single Weight","1",0,4,"20",10,"A03","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
2145794851,"1960",1,4881,"i","Agfa","Portriga Rapid","Sample book","[texture unspecified]","Glossy","White","Double Weight","111",0,4,"20",11,"A03","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
2145794852,"1960",1,4881,"j","Agfa","Portriga Rapid","Sample book","Smooth","Semi Matte","White","Double Weight","112",0,4,"20",12,"A05","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
2145794853,"1960",1,4881,"k","Agfa","Portriga Rapid","Sample book","Classic Portrait","Matte","White","Double Weight","114e",0,4,"20",13,"A10","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
2145794854,"1960",1,4881,"l","Agfa","Portriga Rapid","Sample book","Filigran","Filigran","White","Double Weight","118",0,4,"20",14,"A05","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
1223672592,"1960",1,4882,"a","Ilford","Bromide","Sample book","[texture unspecified]","Glossy","[base color unspecified]","Single Weight","1P",0,11,"20",2,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
